metal_level,plan_count,plan_rating_area_count,issuer_count,state_count,median_age40_premium,p10_age40_premium,p90_age40_premium,median_individual_deductible,p10_individual_deductible,p90_individual_deductible,median_individual_moop,median_primary_care_copay,primary_care_no_charge_share,hsa_plan_share
Catastrophic,75,273,32,19,431.02,340.726,580.01,10600.0,10600.0,10600.0,10600.0,30.0,0.09523809523809523,1.0
Bronze,144,799,51,21,539.07,420.352,789.74,10600.0,6150.0,10600.0,10600.0,0.0,0.4430538172715895,1.0
Expanded Bronze,1156,7029,170,30,557.37,437.79,763.244,7500.0,0.0,8450.0,10000.0,50.0,0.16147389386826005,1.0
Silver,1453,8618,183,30,726.7,563.988,965.8149999999999,6000.0,3125.0,7000.0,8900.0,35.0,0.1996983058714319,0.027384543977721047
Gold,1172,6778,183,30,762.65,597.391,1051.808,1850.0,0.0,2500.0,8200.0,25.0,0.11138979049867218,0.019179699026261435
Platinum,44,720,13,9,1454.65,1095.791,2192.9449999999997,0.0,0.0,1000.0,4000.0,0.0,0.5027777777777778,0.0
